audit_id,condition,added_facts_0_1,omitted_facts_0_1,narrative_order_change_0_1,speaker_or_character_relation_change_0_1,tone_drift_0_2,meaning_preservation_1_5,overall_usable_yes_no,any_semantic_issue_flag,semantic_issue_level
E4_059,simplify,0,0,0,0,1,4,yes,0,low
E4_060,modernize,0,0,0,0,1,5,yes,0,low
E4_061,paraphrase,1,0,0,0,1,4,yes,1,medium
E4_062,modernize,0,0,0,0,1,4,yes,0,low
E4_063,simplify,0,0,0,0,1,5,yes,0,low
E4_064,simplify,0,0,0,0,1,4,yes,0,low
E4_065,modernize,0,0,0,0,1,5,yes,0,low
E4_066,modernize,0,0,0,0,1,5,yes,0,low
E4_067,paraphrase,0,0,0,0,1,4,yes,0,low
E4_068,simplify,0,0,0,0,1,5,yes,0,low
E4_069,modernize,0,0,0,0,1,5,yes,0,low
E4_070,modernize,0,0,0,0,1,5,yes,0,low
E4_071,simplify,0,0,0,0,1,5,yes,0,low
E4_072,modernize,0,0,0,0,1,5,yes,0,low
E4_073,simplify,0,1,0,0,1,4,yes,1,medium
E4_074,paraphrase,0,0,0,0,1,4,yes,0,low
E4_075,modernize,0,0,0,0,1,4,yes,0,low
E4_076,simplify,0,0,0,0,1,5,yes,0,low
E4_077,modernize,0,0,0,0,1,5,yes,0,low
E4_078,modernize,0,0,0,0,1,4,yes,0,low
E4_079,simplify,0,0,0,0,2,4,yes,1,medium
E4_080,paraphrase,0,0,0,0,1,4,yes,0,low
E4_081,paraphrase,0,0,0,0,1,4,yes,0,low
E4_082,modernize,0,0,0,0,1,4,yes,0,low
E4_083,paraphrase,0,0,0,0,2,4,yes,1,medium
E4_084,modernize,0,0,0,0,2,4,yes,1,medium
E4_085,paraphrase,0,0,0,0,1,4,yes,0,low
E4_086,simplify,0,0,0,0,1,4,yes,0,low
E4_087,simplify,0,0,0,0,2,5,yes,1,medium
E4_088,paraphrase,0,0,0,0,1,4,yes,0,low
E4_089,paraphrase,0,0,0,0,2,4,yes,1,medium
E4_090,modernize,0,0,0,0,1,4,yes,0,low
E4_091,paraphrase,0,0,0,0,1,4,yes,0,low
E4_092,paraphrase,0,0,0,0,0,5,yes,0,low
E4_093,simplify,0,1,0,0,1,4,yes,1,medium
E4_094,paraphrase,0,0,0,0,2,4,yes,1,medium
E4_095,paraphrase,0,0,0,0,1,5,yes,0,low
E4_096,simplify,0,0,0,0,1,5,yes,0,low
E4_097,paraphrase,0,0,0,0,1,5,yes,0,low
E4_098,simplify,0,0,0,0,1,5,yes,0,low
E4_099,modernize,0,0,0,0,1,5,yes,0,low
E4_100,modernize,0,0,0,0,1,5,yes,0,low
E4_101,paraphrase,0,0,0,0,1,4,yes,0,low
E4_102,modernize,0,0,0,0,1,5,yes,0,low
E4_103,modernize,0,0,0,0,1,5,yes,0,low
E4_104,modernize,0,0,0,0,1,4,yes,0,low
E4_105,simplify,0,0,0,0,1,5,yes,0,low
E4_106,modernize,0,0,0,0,2,4,yes,1,medium
E4_107,paraphrase,0,0,0,0,1,4,yes,0,low
E4_108,simplify,0,0,0,0,1,4,yes,0,low
