audit_id,condition,original_word_count,rewritten_word_count,word_count_ratio,content_token_jaccard,missing_original_capitalized_terms,added_new_capitalized_terms,missing_numbers,added_numbers,quote_punctuation_delta,negation_set_changed,automated_flags,automated_risk_level,important_note
E4_025,paraphrase,586,480,0.819113,0.187348,Appennines;But;Long;Rapidly;Why,Apennines;However;These;Yet,,,4,0,low_content_overlap;many_original_capitalized_terms_missing;many_new_capitalized_terms_added;large_quote_punctuation_change,high,automated screen only; not human annotation
E4_026,paraphrase,633,558,0.881517,0.281863,After;Charmed;Don;Laundry;Suddenly;When,Abruptly;Before;Delighted;Following;Shortly;Upon;Would,,,1,0,low_content_overlap;many_original_capitalized_terms_missing;many_new_capitalized_terms_added,high,automated screen only; not human annotation
E4_027,simplify,560,487,0.869643,0.409524,And;Nor,Eventually;However;Now,,,1,1,many_new_capitalized_terms_added;negation_set_changed,medium,automated screen only; not human annotation
E4_028,simplify,557,514,0.922801,0.47931,Jew;Motioning;Quick;There,Above;After;Signaling;Someone,,,2,1,many_original_capitalized_terms_missing;many_new_capitalized_terms_added;negation_set_changed,high,automated screen only; not human annotation
E4_029,simplify,580,555,0.956897,0.504386,Most,Almost;Finally;While,,,18,1,many_new_capitalized_terms_added;large_quote_punctuation_change;negation_set_changed,high,automated screen only; not human annotation
E4_030,paraphrase,583,444,0.761578,0.215539,Accordingly;But;Dropping;How;Indeed;Scarcely;This;When,After;However;Upon;With;Within,,,3,1,low_content_overlap;many_original_capitalized_terms_missing;many_new_capitalized_terms_added;negation_set_changed,high,automated screen only; not human annotation
E4_031,simplify,595,523,0.878992,0.269972,But;That,Even;For;However;This;When,,,0,0,low_content_overlap;many_new_capitalized_terms_added,medium,automated screen only; not human annotation
E4_032,modernize,589,560,0.950764,0.616822,Committee,Club;Pharmacopoeia,,,4,0,large_quote_punctuation_change,medium,automated screen only; not human annotation
E4_033,modernize,570,510,0.894737,0.394737,All;Asiatic;Greek;Marmora,Asian;Greeks;Heavy;Marmara;Perhaps;Sea,,,2,1,many_original_capitalized_terms_missing;many_new_capitalized_terms_added;negation_set_changed,high,automated screen only; not human annotation
E4_034,simplify,557,451,0.809695,0.354467,None;Sabbath;There,After;Each;Inside;Many;They;Villagers,,,2,1,many_original_capitalized_terms_missing;many_new_capitalized_terms_added;negation_set_changed,high,automated screen only; not human annotation
E4_035,simplify,557,526,0.944345,0.463235,His;Pardon;Subsequent;This,Honoured;However;Lady;Later;Please;Since;Therefore;Thinking;Three,,,1,0,many_original_capitalized_terms_missing;many_new_capitalized_terms_added,medium,automated screen only; not human annotation
E4_036,paraphrase,550,508,0.923636,0.157658,This;With;Yet,All;Consistent;Humanity;Still,24,,0,1,low_content_overlap;number_change;many_original_capitalized_terms_missing;many_new_capitalized_terms_added;negation_set_changed,high,automated screen only; not human annotation
E4_037,modernize,582,543,0.93299,0.472603,Hel;Mornings;Pap;She;Take,All;Eventually;Hello;Let;Sometimes,,,8,1,many_original_capitalized_terms_missing;many_new_capitalized_terms_added;large_quote_punctuation_change;negation_set_changed,high,automated screen only; not human annotation
E4_038,paraphrase,556,515,0.926259,0.209115,While,Although;Consequently,,,4,1,low_content_overlap;large_quote_punctuation_change;negation_set_changed,high,automated screen only; not human annotation
E4_039,paraphrase,563,520,0.923623,0.236842,Each;Here;That;Under,Even;Every;Given;One;While,,,8,0,low_content_overlap;many_original_capitalized_terms_missing;many_new_capitalized_terms_added;large_quote_punctuation_change,high,automated screen only; not human annotation
E4_040,modernize,571,527,0.922942,0.367089,But;They,Agatha;Felix;Gradually;However;Through,,,5,1,many_new_capitalized_terms_added;large_quote_punctuation_change;negation_set_changed,high,automated screen only; not human annotation
E4_041,simplify,573,516,0.900524,0.365325,But;From;Here,Although;Everything;Gardening;Instead;Leading;The;Whenever;While;Yet,,,2,1,many_original_capitalized_terms_missing;many_new_capitalized_terms_added;negation_set_changed,high,automated screen only; not human annotation
E4_042,paraphrase,571,542,0.949212,0.129787,Better;But;India;Man;Were;Women,Humanity;Indian;Ladies;Thus;Would;Yet,,,1,1,low_content_overlap;many_original_capitalized_terms_missing;many_new_capitalized_terms_added;negation_set_changed,high,automated screen only; not human annotation
E4_043,modernize,585,606,1.035897,0.397554,From;Had;Till;Widely,Moving;The;Until,,,1,1,many_original_capitalized_terms_missing;many_new_capitalized_terms_added;negation_set_changed,high,automated screen only; not human annotation
E4_044,simplify,560,537,0.958929,0.498141,Lord;Miss;This,Her;However;Losing;Maybe;Still;That,,,2,1,many_original_capitalized_terms_missing;many_new_capitalized_terms_added;negation_set_changed,high,automated screen only; not human annotation
E4_045,modernize,572,555,0.97028,0.659919,,Stay,,,1,0,,low,automated screen only; not human annotation
E4_046,modernize,566,523,0.924028,0.543624,Awaken;Perpetual;There;Under,Constant;With;You,,,1,0,many_original_capitalized_terms_missing;many_new_capitalized_terms_added,medium,automated screen only; not human annotation
E4_047,paraphrase,575,538,0.935652,0.223301,Are;From;Its;Now;Obstinate;The;These;While,However;Never;Their;They;Those;What,,,5,1,low_content_overlap;many_original_capitalized_terms_missing;many_new_capitalized_terms_added;large_quote_punctuation_change;negation_set_changed,high,automated screen only; not human annotation
E4_048,simplify,560,496,0.885714,0.281337,America;Happy;Insatiate;There,Even;Those;Whether,,,2,1,low_content_overlap;many_original_capitalized_terms_missing;many_new_capitalized_terms_added;negation_set_changed,high,automated screen only; not human annotation
E4_049,paraphrase,559,516,0.923077,0.252174,After;And;Don;Every;Not;Perfect;There;Two,Consequently;Everyone;Only;True;Unfortunately,,,1,0,low_content_overlap;many_original_capitalized_terms_missing;many_new_capitalized_terms_added,high,automated screen only; not human annotation
E4_050,simplify,567,527,0.929453,0.735772,Palace;Two,After;Dream;Midsummer;This,,,1,1,many_new_capitalized_terms_added;negation_set_changed,medium,automated screen only; not human annotation
E4_051,modernize,562,524,0.932384,0.64455,Indeed;Only,Just,,,22,0,large_quote_punctuation_change,medium,automated screen only; not human annotation
E4_052,simplify,574,536,0.933798,0.512456,Famous;Getting;Had;Only;Pray;Then,After;Gathering;Just;Tell;That;They,,,3,1,many_original_capitalized_terms_missing;many_new_capitalized_terms_added;negation_set_changed,high,automated screen only; not human annotation
E4_053,paraphrase,600,504,0.84,0.218009,Catholic;Gradually;Nothing;Out;Outside;Veil,Beyond;Catholicism;Everything;From;Layer;Mute;Slowly,,,2,1,low_content_overlap;many_original_capitalized_terms_missing;many_new_capitalized_terms_added;negation_set_changed,high,automated screen only; not human annotation
E4_054,paraphrase,596,541,0.907718,0.258065,Cut;Don;Drive;Glo;Hold;Let;Only;Smelling;Uttering,Chase;Delivering;Gloucester;How;Just;Leave;One;Recover;Sniffing;That,,,19,1,low_content_overlap;many_original_capitalized_terms_missing;many_new_capitalized_terms_added;large_quote_punctuation_change;negation_set_changed,high,automated screen only; not human annotation
E4_055,paraphrase,557,530,0.951526,0.278788,Pardon;Subsequent;There;This;When,Consequently;Forgive;Later;Three;Upon,,,1,1,low_content_overlap;many_original_capitalized_terms_missing;many_new_capitalized_terms_added;negation_set_changed,high,automated screen only; not human annotation
E4_056,modernize,566,546,0.964664,0.491468,Affidavits;But;Not;Should,Following;Perhaps;Statements,,,0,1,many_original_capitalized_terms_missing;many_new_capitalized_terms_added;negation_set_changed,high,automated screen only; not human annotation
E4_057,simplify,605,552,0.912397,0.448276,And;Pretty,Almost;Eventually,,,12,1,large_quote_punctuation_change;negation_set_changed,medium,automated screen only; not human annotation
E4_058,simplify,603,575,0.953566,0.548148,When;Wot,After;Nancy,,,6,1,large_quote_punctuation_change;negation_set_changed,medium,automated screen only; not human annotation
E4_059,simplify,568,506,0.890845,0.440559,Gad;Humph;Nor;Not;Stop;Such;Then;Why,Eventually;From;Good;Hmm;Wait;When;While,,,0,1,many_original_capitalized_terms_missing;many_new_capitalized_terms_added;negation_set_changed,high,automated screen only; not human annotation
E4_060,modernize,573,509,0.888307,0.503759,Dern;Soon;Yonder,Darn;Eventually;Over;Then,,,5,1,many_original_capitalized_terms_missing;many_new_capitalized_terms_added;large_quote_punctuation_change;negation_set_changed,high,automated screen only; not human annotation
E4_061,paraphrase,563,516,0.916519,0.176944,Between;Certainly;England;House,London;Park;Perhaps,,,2,0,low_content_overlap;many_original_capitalized_terms_missing;many_new_capitalized_terms_added,high,automated screen only; not human annotation
E4_062,modernize,561,551,0.982175,0.501946,From;Shall,Because;Now;Too;Will,,,8,1,many_new_capitalized_terms_added;large_quote_punctuation_change;negation_set_changed,high,automated screen only; not human annotation
E4_063,simplify,566,535,0.94523,0.530466,Nay;Referring;Such;Were,Entrusting,,,0,0,many_original_capitalized_terms_missing,medium,automated screen only; not human annotation
E4_064,simplify,568,514,0.90493,0.395706,And;From,Eventually;Finally;Now;Once;Unable;Who,,,5,1,many_new_capitalized_terms_added;large_quote_punctuation_change;negation_set_changed,high,automated screen only; not human annotation
E4_065,modernize,564,548,0.971631,0.719424,When,Once,,,3,0,,low,automated screen only; not human annotation
E4_066,modernize,603,582,0.965174,0.508772,Jew;When;Wot,After;Nancy,,,1,1,many_original_capitalized_terms_missing;negation_set_changed,medium,automated screen only; not human annotation
E4_067,paraphrase,553,546,0.987342,0.209169,Dear;During;Forgive;Learn;Thus;When,Almighty;Beloved;Dearest;Kind;May;Never;Pardon;Take;Throughout;Upon,,,0,1,low_content_overlap;many_original_capitalized_terms_missing;many_new_capitalized_terms_added;negation_set_changed,high,automated screen only; not human annotation
E4_068,simplify,562,538,0.957295,0.454902,But;This,During;Make;Please;That,,,2,0,many_new_capitalized_terms_added,medium,automated screen only; not human annotation
E4_069,modernize,583,567,0.972556,0.41369,But;How;More;Such,Consequently;Growing;Having;Poor,,,0,1,many_original_capitalized_terms_missing;many_new_capitalized_terms_added;negation_set_changed,high,automated screen only; not human annotation
E4_070,modernize,560,511,0.9125,0.390476,Little,However;Next;Not,,,3,0,many_new_capitalized_terms_added,medium,automated screen only; not human annotation
E4_071,simplify,586,598,1.020478,0.436314,Such,Sweet,,,1,1,negation_set_changed,medium,automated screen only; not human annotation
E4_072,modernize,567,560,0.987654,0.393782,Draconian;England;Thenceforward,English;Even;From;Three;Truly,,,2,1,many_original_capitalized_terms_missing;many_new_capitalized_terms_added;negation_set_changed,high,automated screen only; not human annotation
E4_073,simplify,562,497,0.884342,0.313531,That;Two;Wilfully;Your,After;Given;However;Last,,,2,1,low_content_overlap;many_original_capitalized_terms_missing;many_new_capitalized_terms_added;negation_set_changed,high,automated screen only; not human annotation
E4_074,paraphrase,624,534,0.855769,0.242105,All;Besides;Easy;Fallen;Grandeur;Phrenology;Royalty;Science;Shakespearian;Then;There,Additional;After;Consequently;Eventually;Finally;Following;Furthermore;Growing;Highness;Let;Majesty;Never;Other;Shakespearean;Three;Very,,,31,1,low_content_overlap;many_original_capitalized_terms_missing;many_new_capitalized_terms_added;large_quote_punctuation_change;negation_set_changed,high,automated screen only; not human annotation
E4_075,modernize,578,578,1.0,0.524904,Again;Back,How,,,4,1,large_quote_punctuation_change;negation_set_changed,medium,automated screen only; not human annotation
E4_076,simplify,560,541,0.966071,0.471186,Books;Little,However;Next;Not;That,,,1,0,many_new_capitalized_terms_added,medium,automated screen only; not human annotation
E4_077,modernize,560,553,0.9875,0.745833,Good,Goodbye,,,7,0,large_quote_punctuation_change,medium,automated screen only; not human annotation
E4_078,modernize,555,569,1.025225,0.431579,Happy;Indeed;Such,Actually;Don;Everyone;Passing;Since;Truly;What;Why,,,17,0,many_original_capitalized_terms_missing;many_new_capitalized_terms_added;large_quote_punctuation_change,high,automated screen only; not human annotation
E4_079,simplify,569,537,0.943761,0.573394,And;Mars;Singular;Then,After;Everything;Master;Put;Search;That;When,,,12,1,many_original_capitalized_terms_missing;many_new_capitalized_terms_added;large_quote_punctuation_change;negation_set_changed,high,automated screen only; not human annotation
E4_080,paraphrase,560,516,0.921429,0.231806,And;But;For;Would,Amidst;Her;Ideas;Thus;Yet,,,0,1,low_content_overlap;many_original_capitalized_terms_missing;many_new_capitalized_terms_added;negation_set_changed,high,automated screen only; not human annotation
E4_081,paraphrase,600,582,0.97,0.297935,But;Instances;Now,Nevertheless;There;Yet,,,1,1,low_content_overlap;many_original_capitalized_terms_missing;many_new_capitalized_terms_added;negation_set_changed,high,automated screen only; not human annotation
E4_082,modernize,564,547,0.969858,0.41,That;What;Whilst,Because;Far;How;While,,,1,1,many_original_capitalized_terms_missing;many_new_capitalized_terms_added;negation_set_changed,high,automated screen only; not human annotation
E4_083,paraphrase,584,549,0.940068,0.251479,Anythink;Come;Get;More;Nobody;Well;Wery,Anything;Certainly;Enter;Even;Good;Nonsense;Quite;Surely;Truly,,,17,0,low_content_overlap;many_original_capitalized_terms_missing;many_new_capitalized_terms_added;large_quote_punctuation_change,high,automated screen only; not human annotation
E4_084,modernize,602,532,0.883721,0.442149,And;Honest;Looky;Now;Then;Which,Come;His;Honestly;Look;Sure;That;They;What,,,9,1,many_original_capitalized_terms_missing;many_new_capitalized_terms_added;large_quote_punctuation_change;negation_set_changed,high,automated screen only; not human annotation
E4_085,paraphrase,566,559,0.987633,0.199446,Nay;Nobody;Referring;Such,Entrusting;Why,,,1,0,low_content_overlap;many_original_capitalized_terms_missing,medium,automated screen only; not human annotation
E4_086,simplify,598,561,0.938127,0.516129,Ain;Decline;Him;Says;Why,How;However;Isn,,,23,1,many_original_capitalized_terms_missing;many_new_capitalized_terms_added;large_quote_punctuation_change;negation_set_changed,high,automated screen only; not human annotation
E4_087,simplify,587,548,0.93356,0.55102,Every;Says,Before;However;Nothing;Touching;What,,,17,1,many_new_capitalized_terms_added;large_quote_punctuation_change;negation_set_changed,high,automated screen only; not human annotation
E4_088,paraphrase,565,574,1.015929,0.197772,Browlow;But;Unhand,Following;Once;One;Release;Should;Yet,,,0,1,low_content_overlap;many_original_capitalized_terms_missing;many_new_capitalized_terms_added;negation_set_changed,high,automated screen only; not human annotation
E4_089,paraphrase,582,556,0.955326,0.372483,All;Can;Ther,Don;Here;Naturally;There;Very,,,18,1,many_original_capitalized_terms_missing;many_new_capitalized_terms_added;large_quote_punctuation_change;negation_set_changed,high,automated screen only; not human annotation
E4_090,modernize,577,561,0.97227,0.518033,Ecod;Nor;Say,And;Good,,,4,1,many_original_capitalized_terms_missing;large_quote_punctuation_change;negation_set_changed,high,automated screen only; not human annotation
E4_091,paraphrase,595,518,0.870588,0.161088,Accordingly;Chanticleer;Finally;For;From;Never;Once;Right;Something;Then;Titan;Unable,Baffled;Clearly;Crimson;Directly;Eventually;Having;Safely;Thus;Upon;When,,,0,1,low_content_overlap;many_original_capitalized_terms_missing;many_new_capitalized_terms_added;negation_set_changed,high,automated screen only; not human annotation
E4_092,paraphrase,563,535,0.950266,0.239264,Don;Indeed;Take;Tell;There,Have;Naturally;Perhaps;Since;Use;Very,,,3,0,low_content_overlap;many_original_capitalized_terms_missing;many_new_capitalized_terms_added,high,automated screen only; not human annotation
E4_093,simplify,586,490,0.836177,0.31831,Appennines;Its;Long;Rapidly;Why,Apennines;Perhaps;This,,,3,0,low_content_overlap;many_original_capitalized_terms_missing;many_new_capitalized_terms_added,high,automated screen only; not human annotation
E4_094,paraphrase,569,498,0.87522,0.247458,And;But;Mars;Say;Shut;Singular;Then,After;Around;Close;However;Master;Place;Proceed;Search;Tell;That;Upon;When,,,19,1,low_content_overlap;many_original_capitalized_terms_missing;many_new_capitalized_terms_added;large_quote_punctuation_change;negation_set_changed,high,automated screen only; not human annotation
E4_095,paraphrase,576,463,0.803819,0.227723,But;Now;This;While,Although;Before;Following;However;Occasionally;Returning;Too;Yet,,,1,1,low_content_overlap;many_original_capitalized_terms_missing;many_new_capitalized_terms_added;negation_set_changed,high,automated screen only; not human annotation
E4_096,simplify,587,533,0.908007,0.482993,Everybody;Presently;Say;Stead,Everyone;Instead;Listen;Soon;Suddenly;They;Why,,,12,1,many_original_capitalized_terms_missing;many_new_capitalized_terms_added;large_quote_punctuation_change;negation_set_changed,high,automated screen only; not human annotation
E4_097,paraphrase,580,532,0.917241,0.149485,But;Everybody;However;Maybe;Nothing;Secret;Some,Auntie;Everyone;Just;Only;Shortly;Someone;Still;What,,,22,1,low_content_overlap;many_original_capitalized_terms_missing;many_new_capitalized_terms_added;large_quote_punctuation_change;negation_set_changed,high,automated screen only; not human annotation
E4_098,simplify,591,543,0.918782,0.41194,But;One,After;Attracted;During;Eventually;However;Pandemonium;Wrapping,,,3,0,many_new_capitalized_terms_added,medium,automated screen only; not human annotation
E4_099,modernize,579,480,0.829016,0.353135,This,She;Shortly;Therefore,,,1,1,many_new_capitalized_terms_added;negation_set_changed,medium,automated screen only; not human annotation
E4_100,modernize,580,534,0.92069,0.592705,Death;Demons;Evil;Good;Hell;Humanity;Its;Reason,Fletcher;Giles,,,2,1,many_original_capitalized_terms_missing;negation_set_changed,medium,automated screen only; not human annotation
E4_101,paraphrase,574,475,0.827526,0.235795,Getting;Like;Only;Pray;Then;When,Accurate;After;Gathering;Just;Tell;Upon,,,9,0,low_content_overlap;many_original_capitalized_terms_missing;many_new_capitalized_terms_added;large_quote_punctuation_change,high,automated screen only; not human annotation
E4_102,modernize,587,565,0.962521,0.503247,And,Finally;Now,,,0,1,negation_set_changed,medium,automated screen only; not human annotation
E4_103,modernize,580,557,0.960345,0.561798,Everybody;However;Nothing,Auntie;Everyone;Just;Only;Someone;Still;Widow,,,4,1,many_original_capitalized_terms_missing;many_new_capitalized_terms_added;large_quote_punctuation_change;negation_set_changed,high,automated screen only; not human annotation
E4_104,modernize,574,523,0.91115,0.444785,Any;Counsel;Near;There,Confused;Soon;Through;Was;With,,,2,1,many_original_capitalized_terms_missing;many_new_capitalized_terms_added;negation_set_changed,high,automated screen only; not human annotation
E4_105,simplify,556,541,0.973022,0.669355,Don;When,Besides;Once,,,3,0,,low,automated screen only; not human annotation
E4_106,modernize,576,556,0.965278,0.508651,Cure;Dead;Least;Leastways;Lemme;Shortly;Shucks;Why,Black;Curing;Forget;Have;Let;Naturally;Soon;Wow,,,2,1,many_original_capitalized_terms_missing;many_new_capitalized_terms_added;negation_set_changed,high,automated screen only; not human annotation
E4_107,paraphrase,564,559,0.991135,0.252336,First;Good;Money;Say,Compensation;Excellent;Let;Yet,,,2,0,low_content_overlap;many_original_capitalized_terms_missing;many_new_capitalized_terms_added,high,automated screen only; not human annotation
E4_108,simplify,596,556,0.932886,0.549383,For;When,Every;Stepping,,,1,1,negation_set_changed,medium,automated screen only; not human annotation
